0, 5, 895
1, 8, 892
2, 11, 889
3, 15, 885
4, 19, 881
5, 23, 877
6, 27, 873
7, 31, 869
8, 35, 865
9, 39, 861
10, 44, 856
11, 50, 850
12, 56, 844
13, 62, 838
14, 68, 832
15, 74, 826
16, 80, 820
17, 86, 814
18, 92, 808
19, 98, 802
20, 103, 797
21, 109, 791
22, 115, 785
23, 120, 780
24, 126, 774
25, 132, 768
26, 138, 762
27, 144, 756
0, 5, 895
1, 8, 892
2, 11, 889
3, 15, 885
4, 19, 881
5, 23, 877
6, 27, 873
7, 31, 869
8, 35, 865
9, 39, 861
10, 44, 856
11, 50, 850
12, 56, 844
13, 62, 838
14, 68, 832
15, 74, 826
16, 80, 820
17, 86, 814
0, 5, 895
1, 8, 892
2, 11, 889
3, 15, 885
4, 19, 881
5, 23, 877
6, 27, 873
7, 31, 869
8, 35, 865
9, 39, 861
10, 44, 856
11, 50, 850
12, 56, 844
13, 62, 838
14, 68, 832
15, 74, 826
16, 80, 820
17, 86, 814
18, 92, 808
0, 5, 895
1, 8, 892
2, 11, 889
3, 15, 885
4, 19, 881
5, 23, 877
6, 27, 873
7, 31, 869
8, 35, 865
9, 39, 861
10, 44, 856
11, 50, 850
12, 56, 844
13, 62, 838
0, 5, 895
1, 8, 892
2, 11, 889
3, 15, 885
4, 19, 881
5, 23, 877
6, 27, 873
7, 31, 869
8, 35, 865
9, 39, 861
10, 44, 856
11, 50, 850
12, 56, 844
13, 62, 838
14, 68, 832
15, 74, 826
16, 80, 820
17, 86, 814
18, 92, 808
19, 98, 802
20, 103, 797
21, 109, 791
22, 115, 785
23, 120, 780
24, 126, 774
25, 132, 768
26, 138, 762
27, 144, 756
28, 150, 750
29, 154, 746
30, 160, 740
31, 165, 735
32, 169, 731
33, 173, 727
34, 178, 722
35, 183, 717
36, 188, 712
37, 194, 706
38, 200, 700
39, 206, 694
40, 212, 688
